date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ENE,2296231,2699465,3106522,2847087,3130462,2925589,3078626,3229209,3751922,3835862,4198906
FEB,248474,418332,643890,805601,741493,769252,836944.52,1297527,1751944,1577894,1700392
MAR,1192333,574629,1474344,1856123,986074,1892625,1971551.25,2010397,2542504,2366932,3050296
ABR,310460,1081121,1621407,1041154,1808979,1510516,2106229,2050942,2065374,2980499,2495259
MAY,1073612,587283,933166,1500924,1413739,1698836,1473154,1733891,2448200,2458535,2586053
JUN,1373269,1369136,1979391,1486080,2008617,1941619,1950658,2621942,3217348,3292310,3272248
JUL,2152703,2279079,2451952,2019467,2189284,2646548,2828338,2962657,3399993,3228070,3543844
AGO,1417078,1832268,1527186,1312460,1890716,2195277,2163186,2296690,2379075,2938155,3106672
SEP,863602,1180211,1143699,994447,1324489,1379189,1590219,1779658,2147659,2337697,1968770
OCT,1218770,1585001,1432887,1664496,1880457,2365706,2109101,2496615,3284042,2967750,2704354
NOV,902019,1411087,1384401,933678,1175976,1600658,1980690.9,2238728,2258361,2551671,2273999
DIC,3166178,3769572,3678321,3393173,3422081,3673665,3681547,4181905,4491717,4558864,4914039